,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
270,2021-08-22,5.0,2857.21,43.36,63.75,22.35,83.92,129.5,177.0,14.69
271,2021-08-23,5.0,7476.81,166.3,74.03,78.68,95.37,402.12,538.54,40.03
272,2021-08-24,5.0,9292.6,246.76,73.34,25.75,121.12,469.8,609.76,36.48
273,2021-08-25,5.0,2323.15,19.45,78.83,121.59,44.82,111.46,231.24,33.44
274,2021-08-26,5.0,6568.91,157.36,86.37,127.32,93.46,333.17,611.05,67.89
275,2021-08-27,5.0,2777.1,48.28,79.51,137.33,54.36,124.77,324.96,34.45
276,2021-08-28,5.0,2002.72,34.87,98.71,183.11,131.61,219.97,292.18,20.77
277,2021-08-29,5.0,1815.8,13.86,132.98,220.3,188.83,220.34,247.05,13.05
278,2021-08-30,5.0,2136.23,33.53,79.51,87.26,139.24,110.74,154.52,17.73
279,2021-08-31,5.0,1735.69,21.23,80.88,39.7,104.9,92.36,117.04,13.55
280,2021-09-01,5.0,4005.43,49.17,100.08,49.35,158.31,208.77,292.59,24.83
281,2021-09-02,5.0,3017.43,50.52,137.09,35.05,215.53,175.88,217.33,17.99
282,2021-09-03,5.0,3791.81,100.14,74.03,21.64,110.63,172.51,219.08,28.88
283,2021-09-04,5.0,7370.0,164.51,83.63,19.31,80.11,411.53,545.64,44.08
284,2021-09-05,5.0,7370.0,128.75,197.41,243.19,107.77,527.19,646.41,47.62
285,2021-09-06,5.0,9078.98,239.61,146.69,55.79,202.18,523.34,672.36,47.12
286,2021-09-07,5.0,1735.69,29.5,69.23,18.95,148.77,166.72,178.25,12.41
287,2021-09-08,5.0,1028.06,7.6,72.66,131.61,98.23,56.49,63.77,11.15
288,2021-09-09,5.0,1815.8,18.77,84.31,54.36,107.77,94.63,111.71,16.97
289,2021-09-10,5.0,1295.09,14.98,61.01,62.94,99.18,56.73,69.76,8.23
290,2021-09-11,5.0,1255.04,6.82,47.3,27.9,60.56,63.41,77.5,7.54
291,2021-09-12,5.0,2429.96,13.97,94.59,21.28,146.87,152.61,197.32,13.93
292,2021-09-13,5.0,3070.83,35.32,135.72,113.01,255.59,201.1,251.46,19.76
293,2021-09-14,5.0,11215.21,228.88,97.33,103.0,103.95,677.83,908.8,50.66
294,2021-09-15,5.0,6515.5,85.83,100.08,158.79,111.58,426.04,545.25,33.44
295,2021-09-16,5.0,2029.42,20.56,77.46,220.3,96.32,138.36,176.08,25.08
296,2021-09-17,5.0,1682.28,9.95,59.63,113.01,73.43,143.87,174.6,20.01
297,2021-09-18,5.0,2002.72,17.21,68.55,108.72,79.16,109.48,146.15,17.73
298,2021-09-19,5.0,2323.15,11.4,86.37,147.34,78.2,151.43,193.96,20.01
